id,Name,mrp,components,company
1,BRUFEN 200 MG 15'S,  5.74 ,"Each film coated tablet contains :
Ibuprofen I.P………………………….200mg
Colours Erythrosine & Titanium Dioxide (IP)",ABBOTT
2,BRUFEN 200 MG 15'S,  5.74 ,"Each film coated tablet contains :
Ibuprofen I.P………………………….200mg
Colours Erythrosine & Titanium Dioxide (IP)",ABBOTT
3,BRUFEN 400 MG 15'S,  10.58 ,"Each film coated tablet contains :
Ibuprofen I.P………………………….400mg
Colours Erythrosine & Titanium Dioxide (IP)",ABBOTT
4,BRUFEN 400 MG 15'S,  10.58 ,"Each film coated tablet contains :
Ibuprofen I.P………………………….400mg
Colours Erythrosine & Titanium Dioxide (IP)",ABBOTT
5,BRUFEN 400 MG 15'S,  10.58 ,"Each film coated tablet contains :
Ibuprofen I.P………………………….400mg
Colours Erythrosine & Titanium Dioxide (IP)",ABBOTT
6,BRUFEN 600 MG 15'S,19.80,"Each film coated tablet contains :
Ibuprofen I.P………………………….600mg
Colours Erythrosine & Titanium Dioxide (IP)",ABBOTT
7,BRUFEN 600 MG 15'S,19.80,"Each film coated tablet contains :
Ibuprofen I.P………………………….600mg
Colours Erythrosine & Titanium Dioxide (IP)",ABBOTT
8,BRUFEN MR 10'S,20.34,Each soft gelatin capsule contains:Ibuprofen I.P. 400mg &Tizanidine HCL IP………….……....2.288mg(equivalent to Tizanidine base)……….. 2mgCapsule shell contains approved colours.,ABBOTT
9,BRUFEN JR SYRUP 60 ML,  11.33 ,"Each 5 ml (one teaspoonful approx.) contains:
Ibuprofen IP              100 mg 
in an orange flavoured syrupy base 
Colour  : Sunset Yellow FCF ",ABBOTT
10,DIGENE 200ML  MINT,99.00,"Each 10 ml ( 2 tablespoonfuls approx.)
contains:
Magnesium Hydroxide I.P………….185 mg
(added as paste)
simethicone I.P……………………..50 mg
Sodium Carboxymethylcellulose I.P 100 mg
Dried Aluminium Hydroxide Gel I.P.830 mg
(added as paste)
In a flavoured suger free base
Colour :Carmosine ",ABBOTT
